0.49105 57
0.50105 48
0.51105 44
0.52105 51
0.53105 47
0.54105 37
0.55105 36
0.56105 30
0.57105 43
0.58105 30
0.59105 39
0.60105 28
0.61105 33
0.62105 28
0.63105 22
0.64105 19
0.65105 26
0.66105 21
0.67105 17
0.68105 16
0.69105 22
0.70105 11
0.71105 17
0.72105 11
0.73105 13
0.74105 5
0.75105 16
0.76105 8
0.77105 10
0.78105 12
0.79105 13
0.80105 13
0.81105 7
0.82105 9
0.83105 4
0.84105 9
0.85105 6
0.86105 7
0.87105 6
0.88105 4
0.89105 4
0.90105 6
0.91105 5
0.92105 6
0.93105 5
0.94105 6
0.95105 4
0.96105 1
0.97105 5
0.98105 3
0.99105 5
1.00105 3
1.01105 4
1.02105 3
1.03105 4
1.04105 0
1.05105 2
1.06105 1
1.07105 7
1.08105 3
1.09105 5
1.10105 2
1.11105 2
1.12105 3
1.13105 2
1.14105 2
1.15105 4
1.16105 0
1.17105 1
1.18105 3
1.19105 2
1.20105 2
1.21105 1
1.22105 1
1.23105 4
1.24105 2
1.25105 1
1.26105 0
1.27105 1
1.28105 1
1.29105 1
1.30105 1
1.31105 1
1.32105 0
1.33105 0
1.34105 2
1.35105 1
1.36105 3
